Material;BUY;SELL
CALCITE;1.5;0.1
DRIPSTONE_BLOCK;1;0.04
HAY_BLOCK;3.6;0.22
HONEY_BLOCK;10;0.8
MAGMA_BLOCK;0.5;0.02
PACKED_ICE;0.2;0.008
ROOTED_DIRT;1;0.02
SLIME_BLOCK;27;0.9
SNOW_BLOCK;0.1;0.008
SOUL_SAND;0.5;0.006
TNT;10$;0.4$
ANDESITE;0.25$;0.02$
ANDESITE_SLAB;0.09$;0.007$
ANDESITE_STAIRS;0.25$;0.02$
POLISHED_ANDESITE;0.25$;0.015$
POLISHED_ANDESITE_SLAB;0.09$;0.005$
POLISHED_ANDESITE_STAIRS;0.25;0.015$
BLACKSTONE;0.5;0.04$
BLACKSTONE_SLAB;0.18;0.015$
BLACKSTONE_STAIRS;0.06;0.005$
POLISHED_BLACKSTONE;0.18;0.015$
POLISHED_BLACKSTONE_SLAB;0.25;0.02$
POLISHED_BLACKSTONE_STAIRS;0.09;0.007$
POLISHED_BLACKSTONE_BRICKS;0.25;0.02$
POLISHED_BLACKSTONE_SLAB;0.3;0.03$
POLISHED_BLACKSTONE_STAIRS;0.1;0.01$
BOOKSHELF;0.3;0.03$
BRICKS;0.3;0.025$
brick_slab;0.1;0.008$
BRICK_WALL;0.3;0.025$
BASALT;0.3;0.025$
COBBLESTONE;0.1;0.008$
STONE_SLAB;0.3;0.025$
STONE_STAIRS;25$;0.1$
MOSSY_COBBLESTONE;0.2$;0.001$
MOSSY_COBBLESTONE_SLAB;0.3$;0.02$
MOSSY_COBBLESTONE_STAIRS;0.01$;0.007$
BLACK_CONCRETE;0.3$;0.02$
BLUE_CONCRETE;0.015$;0.001$
BROWN_CONCRETE;0.015$;0.001$
CYAN_CONCRETE;0.005$;0.0004$
GRAY_CONCRETE;0.015$;0.001$
GREEN_CONCRETE;0.2$;0.01$
LIGHT_BLUE_CONCRETE;0.07$;0.003$
LIGHT_GRAY_CONCRETE;0.2$;0.01$
lime_concrete;2.5$;0.001$
MAGENTA_CONCRETE;2.5$;0.001$
ORANGE_CONCRETE;2.5$;0.001$
PINK_CONCRETE;2.5$;0.001$
PURPLE_CONCRETE;2.5$;0.001$
RED_CONCRETE;2.5$;0.001$
WHITE_CONCRETE;2.5$;0.001$
YELLOW_CONCRETE;2.5$;0.001$
CUT_COPPER;2.5$;0.001$
EXPOSED_CUT_COPPER;2.5$;0.001$
OXIDIZED_CUT_COPPER;2.5$;0.001$
OXIDIZED_COPPER;2.5$;0.001$
WAXED_COPPER_BLOCK;2.5$;0.001$
waxed_cut_copper;2.5$;0.001$
WAXED_CUT_COPPER_SLAB;2.5$;0.001$
WAXED_CUT_COPPER_STAIRS;2.5$;0.001$
WAXED_EXPOSED_COPPER;2$;0.08$
WAXED_EXPOSED_CUT_COPPER;3$;0.12$
WAXED_EXPOSED_CUT_COPPER_SLAB;4$;0.15$
WAXED_EXPOSED_CUT_COPPER_STAIRS;4$;0.16$
WAXED_OXIDIZED_COPPER;5$;0.16$
WAXED_OXIDIZED_CUT_COPPER;5$;0.16$
WAXED_OXIDIZED_CUT_COPPER_SLAB;2.5$;0.05$
WAXED_OXIDIZED_CUT_COPPER_STAIRS;5$;0.16$
WAXED_WEATHERED_COPPER;7$;0.18$
WAXED_WEATHERED_CUT_COPPER;7$;0.18$
WAXED_WEATHERED_CUT_COPPER_SLAB;3.5$;0.09$
WAXED_WEATHERED_CUT_COPPER_STAIRS;7$;0.18$
WEATHERED_CUT_COPPER;9$;0.25$
COBBLED_DEEPSLATE;9$;0.25$
cobbled_deepslate_slab;4.5$;0.15$
cobbled_deepslate_stairs;9$;0.25$
DEEPSLATE;8$;0.22$
DEEPSLATE_TILE_SLAB;8$;0.22$
DEEPSLATE_TILE_STAIRS;4$;0.1$
DEEPSLATE_TILES;8$;0.22$
DIORITE;8$;0.13$
DIORITE_SLAB;0.1$;0.007$
DIORITE_STAIRS;0.05$;0.003$
POLISHED_DIORITE;0.1$;0.007$
POLISHED_DIORITE_SLAB;0.15$;0.007$
POLISHED_DIORITE_STAIRS;0.75$;0.0015$
CLAY;0.15$;0.005$
CRIMSON_NYLIUM;0.15$;0.005$
GRASS;0.25$;0.02$
GRASS_BLOCK;0.09$;0.008$
GRAVEL;0.25$;0.02$
MYCELIUM;0.25$;0.018$
PODZOL;0.09$;0.006$
warped_nylium;0.25$;0.018$
END_STONE;1.5$;0.05$
end_stone_brick_slab;0.1$;0.005$
end_stone_brick_stairs;0.1$;0.003$
END_STONE_BRICKS;0.15$;0.005$
GLASS;0.12$;0.01$
GLASS_PANE;0.5$;0.012$
TINTED_GLASS;0.3$;0.01$
GRANITE;0.1$;0.005$
GRANITE_SLAB;3$;0.04$
GRANITE_STAIRS;1.5$;0.012$
POLISHED_GRANITE;3$;0.035$
POLISHED_GRANITE_SLAB;3$;0.035$
POLISHED_GRANITE_STAIRS;1$;0.012$
GLOWSTONE;0.2$;0.004$
NETHERRACK;0.25$;0.018$
NETHER_BRICK_SLAB;4$;0.1$
NETHER_BRICK_STAIRS;1$;0.02$
NETHER_BRICKS;0.5$;0.08$
RED_NETHER_BRICK_SLAB;1$;0.2$
RED_NETHER_BRICK_STAIRS;1$;0.18$
RED_NETHER_BRICKS;1$;0.2$
CRYING_OBSIDIAN;1.5$;0.05$
OBSIDIAN;0.1$;0.001$
PRISMARINE;0.15$;0.003$
PRISMARINE_SLAB;0.3$;0.008$
PRISMARINE_STAIRS;0.3$;0.008$
PRISMARINE_BRICK_SLAB;0.3$;0.02$
PRISMARINE_BRICK_STAIRS;0.6;0.05$
PRISMARINE_BRICKS;0.6$;0.05$
DARK_PRISMARINE;20$;0.5$
DARK_PRISMARINE_SLAB;12$;0.01$
DARK_PRISMARINE_STAIRS;0.8$;0.03$
PURPUR_BLOCK;0.4$;0.01$
PURPUR_SLAB;0.8$;0.03$
PURPUR_STAIRS;0.8$;0.02$
QUARTZ_BRICKS;1.6$;0.06$
QUARTZ_SLAB;1.6$;0.06$
QUARTZ_STAIRS;2$;0.07$
RED_SAND;1$;0.03$
SAND;2$;0.07$
SANDSTONE;0.18;0.015$
SANDSTONE_SLAB;0.09$;0.005$
