Material;BUY;SELL
RED_DYE;5.0;0.1
BLUE_DYE;2.0;0.002
BROWN_DYE;2.0;0.03
CYAN_DYE;2.0;0.002
GRAY_DYE;2.0;0.05
GREEN_DYE;2.0;0.008
LIGHT_BLUE_DYE;2.0;0.001
LIGHT_GRAY_DYE;2.0;0.02
LIME_DYE;2.0;0.004
MAGENTA_DYE;2.0;0.001
ORANGE_DYE;2.0;0.002
PINK_DYE;2.0;0.005
PURPLE_DYE;2.0;0.002
RED_DYE;1.5;0.001
WHITE_DYE;1.5;0.001
YELLOW_DYE;2.0;0.002
AZURE_BLUET;1.0;0.002
BLUE_ORCHID;1.2;0.002
CORNFLOWER;1.0;0.002
LILAC;1.0;0.008
LILY_OF_THE_VALLEY;1.0;0.002
ORANGE_TULIP;1.2;0.002
OXEYE_DAISY;1.0;0.002
PEONY;1.0;0.008
PINK_TULIP;1.2;0.002
POPPY;1.0;0.002
RED_TULIP;1.0;0.002
SUNFLOWER;1.0;0.008
torchflower;2.0;0.04
INK_SAC;6.0;0.1
