Material;BUY;SELL
anvil;;1.0
axolotl_bucket;;0.4
bell;;0.5
brush;;0.002
carrot_on_a_stick;;0.015
cobweb;;0.03
cod_bucket;;0.04
Elytra;;-
ender_chest;;0.8
ender_eye;;0.05
experience_bottle;;0.06
firework_rocket;;0.1
glow_ink_sac;;0.1
glowstone_dust;;0.25
honeycomb;;0.09
lava_bucket;;0.01
lead;;0.15
lily_pad;;0.03
lodestone;;5.0
map;;0.15
moss_block;;0.002
name_tag;;0.2
nether_star;;50.0
powder_snow_bucket;;0.01
pufferfish_bucket;;0.01
red_bed;;0.05
saddle;;0.15
salmon_bucket;;0.01
scaffolding;;0.005
shulker_shell;;0.2
sniffer_spawn_egg;;0.15
snow;;0.005
snowball;;0.0001
sponge;;0.04
spyglass;;0.05
tadpole_bucket;;0.04
totem_of_undying;;0.1
trident;;10.0
tropical_fish_bucket;;0.01
turtle_egg;;0.08
warped_fungus_on_a_stick;;0.015
water bucket;;0.01
wind charge;;0.12
writable_book;;0.1
flower_banner_pattern;;0.4
creeper_banner_pattern;;0.02
skull_banner_pattern;;0.002
mojang_banner_pattern;;0.002
globe_banner_pattern;;0.02
piglin_banner_pattern;;4.0
clock;;0.2
compass;;0.01
recovery_compass;;8.0
big_dripleaf;;0.06
small_dripleaf;;0.06
beacon;;50.0
end_rod;;0.04
lantern;;0.04
soul_lantern;;0.04
campfire;;0.02
soul campfire;;0.02
Sculk;;0.004
sculk_catalyst;;0.2
sculk_shrieker;;0.2
ominous bottle;;2.5
