Material;BUY;SELL
QUARTZ_BLOCK;3.6;0.5
QUARTZ;0.9;0.03
AMETHYST_BLOCK;2.00;0.04
AMETHYST_SHARD;0.5;0.09
NETHERITE_BLOCK;630.00;56.00
NETHERITE_INGOT;70.00;5.00
EMERALD_BLOCK;27.00;0.5
EMERALD;4.00;0.06
DIAMOND_BLOCK;225.00;4.5
DIAMOND;25.00;0.5
REDSTONE_BLOCK;13.5;0.09
REDSTONE_POWDER;1.5;0.01
LAPIS_BLOCK;13.5;0.13
LAPIS_LAZULI;1.5;0.015
GOLD_BLOCK;20.0;0.9
GOLD_INGOT;2.2;0.1
IRON_BLOCK;22.0;0.45
IRON_INGOT;2.5;0.05
COPPER_BLOCK;2.00;0.045
COPPER_INGOT;0.2;0.005
COAL_BLOCK;9.0;0.45
COAL;1.0;0.05
ANCIENT_DEBRIS;18.0;1.2
COPPER_ORE;0.3;0.025
